,Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
177,2,2,,,L,BEHAVIOR,YES,YES,18:18:00,18:20:00,,,,00:18:18,00:18:20
178,2,2,,,H,EVENT,YES,YES,18:21:00,18:24:00,,,,00:18:21,00:18:24
179,2,2,,,B,EVENT,YES,YES,18:28:00,18:30:00,,,,00:18:28,00:18:30
180,2,2,,,B,EVENT,YES,YES,18:34:00,18:36:00,,,,00:18:34,00:18:36
181,2,2,,,H,EVENT,YES,YES,18:39:00,18:40:00,,,,00:18:39,00:18:40
182,2,2,,,H,EVENT,YES,YES,18:44:00,18:48:00,,,,00:18:44,00:18:48
183,2,2,,,B,EVENT,YES,YES,18:49:00,18:51:00,,,,00:18:49,00:18:51
184,2,2,,,H,EVENT,YES,YES,18:53:00,18:53:00,,,,00:18:53,00:18:53
185,2,2,,,B,EVENT,YES,YES,18:56:00,18:58:00,,,,00:18:56,00:18:58
186,2,2,,,H,EVENT,YES,YES,19:00:00,19:01:00,,,,00:19:00,00:19:01
187,2,2,,,B,EVENT,YES,YES,19:05:00,19:11:00,,,,00:19:05,00:19:11
188,2,2,,,M,EVENT,YES,YES,19:13:00,19:17:00,,,,00:19:13,00:19:17
189,2,2,,,B,EVENT,YES,YES,19:18:00,19:22:00,,,,00:19:18,00:19:22
190,2,2,,,M,EVENT,YES,YES,19:22:00,19:26:00,,,,00:19:22,00:19:26
191,2,2,,,B,EVENT,YES,YES,19:27:00,19:30:00,,,,00:19:27,00:19:30
192,2,2,,,M,EVENT,YES,YES,19:33:00,19:38:00,,,,00:19:33,00:19:38
193,2,2,,,B,EVENT,YES,YES,19:39:00,19:41:00,,,,00:19:39,00:19:41
194,2,2,,,B,EVENT,YES,YES,19:44:00,19:45:00,,,,00:19:44,00:19:45
195,2,2,,,E,BEHAVIOR,YES,YES,19:50:00,20:03:00,,,,00:19:50,00:20:03
196,2,2,,,B,EVENT,YES,NO,20:03:00,20:05:00,,,,00:20:03,00:20:05
197,2,2,,,E,BEHAVIOR,YES,YES,20:06:00,20:36:00,,,,00:20:06,00:20:36
198,2,2,,,U,MUSIC,YES,YES,20:24:00,20:41:00,,,,00:20:24,00:20:41
199,2,2,,,E,BEHAVIOR,YES,NO,20:41:00,21:08:00,,,,00:20:41,00:21:08
