Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
2,2,,,L,BEHAVIOR,YES,NO,24:08:00,24:39:00,,,,0:24:08,0:24:39
2,2,,,P,BEHAVIOR,YES,NO,24:40:00,24:49:00,,,,0:24:40,0:24:49
2,2,,,V,EVENT,YES,NO,24:52:00,24:54:00,,,,0:24:52,0:24:54
2,2,,,L,BEHAVIOR,YES,NO,24:55:00,25:41:00,,,,0:24:55,0:25:41
2,2,,,M,EVENT,YES,NO,25:46:00,25:53:00,,,,0:25:46,0:25:53
2,2,,,L,BEHAVIOR,YES,NO,25:54:00,27:30:00,,,,0:25:54,0:27:30
2,2,,,H,EVENT,YES,NO,27:31:00,27:32:00,,,,0:27:31,0:27:32
2,2,,,P,BEHAVIOR,YES,NO,27:34:00,27:35:00,,,,0:27:34,0:27:35
2,2,,,L,BEHAVIOR,YES,NO,27:37:00,28:15:00,,,,0:27:37,0:28:15
2,2,,,M,EVENT,YES,NO,28:16:00,28:29:00,,,,0:28:16,0:28:29
2,2,,,NB,BEHAVIOR,YES,NO,28:30:00,28:32:00,,,,0:28:30,0:28:32
2,2,,,M,EVENT,YES,NO,28:33:00,28:38:00,,,,0:28:33,0:28:38
2,2,,,E,BEHAVIOR,YES,NO,28:39:00,29:56:00,,,,0:28:39,0:29:56
2,2,,,M,EVENT,YES,NO,30:00:00,30:03:00,,,,0:30:00,0:30:03
2,2,,,M,EVENT,YES,NO,30:06:00,30:21:00,,,,0:30:06,0:30:21
2,2,,,E,BEHAVIOR,YES,NO,30:21:00,31:29:00,,,,0:30:21,0:31:29
2,2,,,NB,BEHAVIOR,YES,NO,31:36:00,31:38:00,,,,0:31:36,0:31:38
2,2,,,NB,BEHAVIOR,YES,NO,31:46:00,31:59:00,,,,0:31:46,0:31:59
2,2,,,M,EVENT,YES,NO,32:07:00,32:08:00,,,,0:32:07,0:32:08
2,2,,,NB,BEHAVIOR,YES,NO,32:09:00,32:14:00,,,,0:32:09,0:32:14
2,2,,,M,EVENT,YES,NO,32:14:00,32:20:00,,,,0:32:14,0:32:20
2,2,,,L,BEHAVIOR,YES,NO,32:20:00,32:48:00,,,,0:32:20,0:32:48
2,2,,,L,BEHAVIOR,YES,NO,32:52:00,33:01:00,,,,0:32:52,0:33:01
2,2,,,U,MUSIC,YES,YES,32:53:00,33:15:00,,,,0:32:53,0:33:15
2,2,,,L,BEHAVIOR,YES,YES,33:09:00,33:12:00,,,,0:33:09,0:33:12
2,2,,,L,BEHAVIOR,YES,NO,33:20:00,33:28:00,,,,0:33:20,0:33:28
