,Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
146,2,2,B,EVENT,YES,NO,33:38,33:40
147,2,2,U,MUSIC,YES,YES,33:41,34:33
148,2,2,L,BEHAVIOR,YES,YES,33:43,33:50
149,2,2,B,EVENT,YES,YES,33:53,33:57
150,2,2,B,EVENT,YES,YES,33:57,33:59
151,2,2,L,BEHAVIOR,YES,YES,34:01,34:03
152,2,2,H,EVENT,YES,YES,34:03,34:04
153,2,2,H,EVENT,YES,YES,34:13,34:14
154,2,2,L,BEHAVIOR,YES,YES,34:15,34:18
155,2,2,H,EVENT,YES,YES,34:18,34:20
156,2,2,V,EVENT,YES,YES,34:23,34:24
157,2,2,L,BEHAVIOR,YES,YES,34:25,34:32
158,2,2,M,EVENT,YES,YES,34:48,34:54
159,2,2,V,EVENT,YES,NO,34:55,34:56
160,2,2,FP,BEHAVIOR,YES,NO,35:09,35:10
161,2,2,P,BEHAVIOR,YES,NO,37:59,38:08
162,2,2,M,EVENT,YES,NO,38:09,38:15
163,2,2,L,BEHAVIOR,YES,NO,38:16,38:17
164,2,2,M,EVENT,YES,NO,38:22,38:26
165,2,2,U,MUSIC,YES,YES,38:25,38:43
166,2,2,V,EVENT,YES,YES,38:33,38:34
167,2,2,L,BEHAVIOR,YES,YES,38:35,39:19
168,2,2,FP,BEHAVIOR,YES,NO,39:22,39:23
169,2,2,M,EVENT,YES,NO,39:34,39:40
170,2,2,L,BEHAVIOR,YES,YES,39:41,39:59
171,2,2,U,MUSIC,YES,YES,39:42,40:01
172,2,2,B,EVENT,YES,NO,42:57,43:01
173,2,2,B,EVENT,YES,NO,43:05,43:08
174,2,2,U,MUSIC,YES,YES,43:06,43:48
175,2,2,B,EVENT,YES,YES,43:11,43:17
176,2,2,B,EVENT,YES,YES,43:29,43:31
177,2,2,M,EVENT,YES,NO,44:28,44:41
178,2,2,L,BEHAVIOR,YES,NO,44:47,45:55
179,2,2,L,BEHAVIOR,YES,NO,46:01,47:20
180,2,2,L,BEHAVIOR,YES,NO,47:22,48:45
