Observation id,D2_S3,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,,,,,,,,
,,,,,,,,,
Observation date,7/31/19 10:00,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,YES,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
828.793,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,bobbing,EVENT,,START,NO
829.294,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,bobbing,EVENT,,STOP,NO
830.794,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,START,YES
830.799,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,START,YES
831.8,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,STOP,YES
833.049,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,START,YES
838.051,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,STOP,YES
846.813,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,bobbing,EVENT,,START,YES
848.312,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,bobbing,EVENT,,STOP,YES
851.319,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,nodding,EVENT,,START,YES
851.818,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,nodding,EVENT,,STOP,YES
863.318,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,STOP,YES
942.654,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
943.653,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1004.405,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1009.906,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1011.652,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1013.727,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1013.981,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1015.482,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,feathers puffing,BEHAVIOR,,START,NO
1016.978,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,feathers puffing,BEHAVIOR,,STOP,NO
1034.237,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1034.736,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1035.734,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1036.256,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1139.848,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,START,YES
1145.107,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,YES
1145.363,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,YES
1157.866,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,YES
1158.616,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,YES
1160.371,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,STOP,YES
