Sheet,Day,lenghts,Song,#interaction,Dance/Trigger,if D: #Bobs,if T: nimble/ poke/ hold/ feet,time start,time end,duration,New Start,New End
jb,2,0:53:20,Camelion,6,T,,,0:45:40,0:45:43,0:00:03,2:45:40,2:45:43
jb,2,0:53:20,Camelion,7,T,,P,0:50:26,0:50:28,0:00:02,2:50:26,2:50:28
jb,2,0:53:20,Camelion,7,T,,,0:51:44,0:51:59,0:00:15,2:51:44,2:51:59
jb,2,0:53:20,Camelion,7,D,2,,0:52:01,0:52:03,0:00:02,2:52:01,2:52:03
jb,2,0:53:20,Camelion,7,T,,N,0:52:07,0:52:49,0:00:42,2:52:07,2:52:49
jb,2,0:53:20,Camelion,,Timing,,,,,,2:00:00,2:00:00
jb,2,0:53:20,Camelion,,Timing,,,,,,2:53:20,2:53:20
jb,2,0:53:20,Camelion,,Timing,,,,,,3:00:00,3:00:00
jb,3,0:35:45,Jump in the Line,1,T,,P,0:06:11,0:06:13,0:00:02,3:06:11,3:06:13
jb,3,0:35:45,Jump in the Line,1,T,,F,0:07:04,0:07:36,0:00:32,3:07:04,3:07:36
jb,3,0:35:45,Jump in the Line,,Timing,,,,,,3:00:00,3:00:00
jb,3,0:35:45,Jump in the Line,,Timing,,,,,,3:35:45,3:35:45
jb,3,0:35:45,Jump in the Line,,Timing,,,,,,4:00:00,4:00:00
jb,4,0:39:56,Move It,1,T,,P,0:00:10,0:00:13,0:00:03,4:00:10,4:00:13
jb,4,0:39:56,Move It,1,T,,N,0:00:22,0:01:31,0:01:09,4:00:22,4:01:31
jb,4,0:39:56,Move It,1,T,,N,0:01:46,0:02:41,0:00:55,4:01:46,4:02:41
jb,4,0:39:56,Move It,2,T,,H,0:19:21,0:19:38,0:00:17,4:19:21,4:19:38
jb,4,0:39:56,Move It,2,T,,F,0:19:40,0:22:33,0:02:53,4:19:40,4:22:33
jb,4,0:39:56,Move It,3,T,,H,0:22:50,0:22:52,0:00:02,4:22:50,4:22:52
jb,4,0:39:56,Move It,3,T,,F,0:22:57,0:34:37,0:11:40,4:22:57,4:34:37
jb,4,0:39:56,Move It,,Timing,,,,,,4:00:00,4:00:00
jb,4,0:39:56,Move It,,Timing,,,,,,4:39:56,4:39:56
jb,4,0:39:56,Move It,,Timing,,,,,,5:00:00,5:00:00
