N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Start,End,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:03:03,0:03:26,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:03:29,0:03:35,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:05:05,0:05:28,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:06:12,0:07:11,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:06:21,0:07:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:08:42,0:09:00,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:08:58,0:09:20,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:09:30,0:11:09,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:09:38,0:10:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:10:50,0:11:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:11:38,0:12:01,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:11:41,0:12:58,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:13:13,0:13:17,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:13:29,0:15:58,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:14:09,0:14:22,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:14:56,0:15:15,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:16:12,0:16:37,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:16:48,0:17:14,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:17:30,0:17:45,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:17:42,0:17:52,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:18:11,0:18:13,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:18:22,0:20:32,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:18:25,0:19:44,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:19:54,0:21:01,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:21:24,0:21:34,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:21:50,0:23:44,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:22:10,0:23:07,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:23:34,0:24:01,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:24:40,0:25:00,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:25:13,0:25:52,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:26:12,0:27:10,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:26:31,0:27:18,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:27:44,0:28:28,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:27:44,0:28:31,,,,,,,,,,,,,,,,
